date,home_team,away_team,home_score,away_score,result
2025-04-18,00 - μπολι U20 Μλαν U20,1 - 0 1,1,0,home
2025-04-18,00 - Σλμποντα Τοζλα Ρντινκ Μπιτζελνα,2 - 3 2,2,2,draw
2025-04-18,00 - Αλ Καρχ Νιοροζ ΣΚ,2 - 2 X,2,0,home
2025-04-18,00 - Βλσουνγκουρ Θρτουρ Ρικιαβικ,2 - 3 X,2,1,home
2025-04-18,00 231 Γουτφορντ Μπρνλι 4.85 3.50 1.72,1 - 2 2,1,1,draw
2025-04-18,00 232 Κβεντρι Γουστ Μπρομ 2.20 3.40 3.10,2 - 0 1,1,0,home
2025-04-18,00 234 Μντλεσμπρο Πλμουθ 1.37 5.15 6.85,2 - 1 1,1,1,draw
2025-04-18,00 235 Μπλκμπερν Μλγουολ 2.35 3.00 3.15,4 - 1 1,2,1,home
2025-04-18,00 236 Μπρστολ Στι Σντερλαντ 2.27 3.20 3.10,2 - 1 1,0,1,away
2025-04-18,00 237 Νριτς Πρτσμουθ 1.81 3.65 4.15,3 - 5 2,1,3,away
2025-04-18,00 238 Πρστον ΚΠΡ 2.32 3.05 3.20,1 - 2 2,1,0,home
2025-04-18,00 239 Σουνσι Χαλ 2.22 3.20 3.20,1 - 0 1,0,0,draw
2025-04-18,00 242 Στουκ Σφιλντ Γουνσντε 2.22 3.25 3.20,2 - 0 1,1,0,home
2025-04-18,00 243 Λιτον ριεντ Μπρνσλε 1.65 3.95 4.50,4 - 3 1,0,2,away
2025-04-18,00 505 Μπρμιγχαμ Κρουλι Τουν 1.31 5.35 7.75,0 - 0 X,0,0,draw
2025-04-18,00 599 Μπλτον Γουκομ 2.77 3.25 2.40,0 - 2 2,0,0,draw
2025-04-18,00 764 Πιτρμπορο Στκπορτ 3.30 3.35 2.07,1 - 1 X,1,0,home
2025-04-18,00 765 Ρντινγκ Λνκολν Στι 2.12 3.40 3.20,0 - 1 2,0,0,draw
2025-04-18,00 766 Ρξαμ Μπρστολ Ρβερς 1.41 4.35 6.85,1 - 1 X,0,1,away
2025-04-18,00 771 Ρδεραμ Μνσφιλντ 2.32 3.30 2.85,3 - 3 X,2,1,home
2025-04-18,00 772 Σριοσμπερι Γουγκαν 3.55 3.05 2.10,0 - 1 2,0,0,draw
2025-04-18,00 773 Στβενετζ Μπλκπουλ 2.77 3.15 2.50,1 - 3 2,0,0,draw
2025-04-18,00 774 Τσρλτον Νορθμπτον 1.55 3.90 5.50,2 - 1 1,1,1,draw
2025-04-18,00 775 Χντερσφιλντ Κμπριτζ Γιουνιτεντ 1.60 3.80 5.15,1 - 2 2,0,0,draw
2025-04-18,00 776 Γκρμσμπι Τουν Σουντον Τουν 1.94 3.50 3.55,0 - 4 2,0,2,away
2025-04-18,00 777 Γουμπλεντον Τσστερφιλντ 2.10 3.30 3.30,0 - 0 X,0,0,draw
2025-04-18,00 778 Γουλσολ Χρογκετ Τουν 1.55 3.90 5.35,2 - 2 X,1,1,draw
2025-04-18,00 779 Καρλιλ Πορτ Βιλ 3.55 3.35 2.00,3 - 2 1,2,0,home
2025-04-18,00 780 Κλτσεστερ Κρου 2.00 3.30 3.55,0 - 0 X,0,0,draw
2025-04-18,00 781 Μλτον Κινς Ντονς Νιοπορτ Κουντι 1.50 4.25 5.50,0 - 0 X,0,0,draw
2025-04-18,00 782 Μπρμλε Μρκαμ 1.98 3.45 3.45,1 - 0 1,0,0,draw
2025-04-18,00 783 Σλφορντ Στι κρινγκτον 1.84 3.45 4.00,1 - 2 2,0,1,away
2025-04-18,00 784 Τρανμρ Ντονκστερ 3.20 3.45 2.10,0 - 3 2,0,1,away
2025-04-18,00 785 Τσλτεναμ Τζλιγχαμ 2.60 3.15 2.62,1 - 1 X,1,1,draw
2025-04-18,00 786 Φλτγουντ Τουν Μπροου 2.50 3.15 2.75,0 - 0 X,0,0,draw
2025-04-18,00 787 Κινγκς Λιν Σκνθορπ 3.25 3.10 2.02,1 - 0 1,1,0,home
2025-04-18,00 788 Κρσον λφρετον Τουν 2.25 3.05 2.85,0 - 0 X,0,0,draw
2025-04-18,00 789 Μαρν Γουρινγκτον Τουν 1.80 3.25 3.85,1 - 0 1,0,0,draw
2025-04-18,00 790 Μπξτον Τσρλι 2.22 3.15 2.82,1 - 0 1,1,0,home
2025-04-18,00 791 Μπρκλι Τουν ξφορντ Στι 1.40 4.15 6.15,1 - 0 1,1,0,home
2025-04-18,00 792 Ντρλινγκτον Σουθ Σιλντς 2.07 3.35 2.95,1 - 1 X,1,1,draw
2025-04-18,00 793 Πτερμπορο Σπορτς Νντχαμ Μρκετ 1.68 3.45 4.15,2 - 0 1,0,0,draw
2025-04-18,00 794 Ρασχλ Ολμπικ Κιντερμνστερ 6.85 4.50 1.32,1 - 2 2,0,1,away
2025-04-18,00 795 Σουθπορτ Τσστερ 3.55 3.30 1.85,0 - 1 2,0,0,draw
2025-04-18,00 796 Σπενιμρ Τουν Σκρμπορο Αθλτικ 2.00 3.25 3.15,1 - 1 X,0,0,draw
2025-04-18,00 797 Χρεφορντ Λμινγκτον 1.48 3.80 5.35,3 - 0 1,0,0,draw
2025-04-18,00 798 Γιβιλ Τουν Φρεστ Γκριν 2.95 3.05 2.30,1 - 1 X,1,0,home
2025-04-18,00 799 Μεντενχντ Γιουνιτεντ Γουκινγκ 2.05 3.25 3.25,2 - 2 X,1,0,home
2025-04-18,00 800 Μπστον Γιουν. Γουλντστουν 2.12 3.00 3.40,2 - 0 1,2,0,home
2025-04-18,00 801 Ντγκεναμ Ρεντ μπσφλιτ Γιουνιτεντ 1.57 3.85 5.00,1 - 0 1,0,0,draw
2025-04-18,00 802 λνταμ Χρτλπουλ 2.17 3.20 3.00,2 - 1 1,1,1,draw
2025-04-18,00 803 λντερσοτ Τουν Στον Γιουνιτεντ 2.25 3.25 2.85,1 - 1 X,0,1,away
